t_s,vdc_v,idc_a,v_pos_gnd_v,v_neg_gnd_v
0,1500,0,750,-750
5e-05,1499.99978863205,3.6303074034813,749.999894316025,-749.999894316025
0.0001,1499.99915655345,7.25456933391709,749.999578276727,-749.999578276727
0.00015,1499.99810679547,10.8727958587039,749.999053397737,-749.999053397737
0.0002,1499.99664238054,14.4849970284734,749.998321190271,-749.998321190271
0.00025,1499.99476632224,18.09118287712,749.997383161121,-749.997383161121
0.0003,1499.99248162531,21.6913634218289,749.996240812653,-749.996240812653
0.00035,1499.98979128561,25.2855486631039,749.994895642804,-749.994895642804
0.0004,1499.98669829015,28.8737485847953,749.993349145077,-749.993349145077
0.00045,1499.98320561707,32.4559731541274,749.991602808534,-749.991602808534
0.0005,1499.9793162356,36.0322323217262,749.9896581178,-749.9896581178
0.00055,1499.9750331061,39.6025360216473,749.987516553049,-749.987516553049
0.0006,1499.97035918002,43.1668941714034,749.98517959001,-749.98517959001
0.00065,1499.96529739991,46.7253166719914,749.982648699955,-749.982648699955
0.0007,1499.95985069941,50.2778134079208,749.979925349703,-749.979925349703
0.00075,1499.95402200322,53.8243942472402,749.97701100161,-749.97701100161
0.0008,1499.94781422714,57.3650690415653,749.973907113572,-749.973907113572
0.00085,1499.94123027803,60.8998476261063,749.970615139016,-749.970615139016
0.0009,1499.9342730538,64.4287398196947,749.967136526899,-749.967136526899
0.00095,1499.92694544342,67.9517554248113,749.963472721709,-749.963472721709
0.001,1499.91925032691,71.4689042276126,749.959625163455,-749.959625163455
0.00105,1499.91119057534,74.9801959979587,749.955595287668,-749.955595287668
0.0011,1499.9027690508,78.4856404894402,749.951384525401,-749.951384525401
0.00115,1499.89398860644,81.9852474394051,749.946994303219,-749.946994303219
0.0012,1499.88485208641,85.4790265689861,749.942426043204,-749.942426043204
0.00125,1499.87536232589,88.9669875831274,749.937681162946,-749.937681162946
0.0013,1499.8655221511,92.449140170612,749.932761075548,-749.932761075548
0.00135,1499.85533437923,95.925494004088,749.927667189616,-749.927667189616
0.0014,1499.84480181852,99.3960587400962,749.922400909261,-749.922400909261
0.00145,1499.8339272682,102.860844019096,749.916963634098,-749.916963634098
0.0015,1499.82271351848,106.319859465494,749.911356759239,-749.911356759239
0.00155,1499.81116335059,109.773114687669,749.905581675296,-749.905581675296
0.0016,1499.79927953676,113.220619277997,749.899639768379,-749.899639768379
0.00165,1499.78706484018,116.662382812883,749.893532420088,-749.893532420088
0.0017,1499.77452201504,120.098414852784,749.88726100752,-749.88726100752
0.00175,1499.76165380652,123.528724942234,749.880826903262,-749.880826903262
0.0018,1499.74846295078,126.953322609877,749.87423147539,-749.87423147539
0.00185,1499.73495217494,130.372217368484,749.867476087468,-749.867476087468
0.0019,1499.7211241971,133.785418714988,749.860562098548,-749.860562098548
0.00195,1499.70698172633,137.192936130506,749.853490863167,-749.853490863167
0.002,1499.6925274627,140.594779080366,749.846263731348,-749.846263731348
0.00205,1499.67776409719,143.990957014135,749.838882048594,-749.838882048594
0.0021,1499.66269431179,147.381479365642,749.831347155894,-749.831347155894
0.00215,1499.64732077943,150.766355553007,749.823660389716,-749.823660389716
0.0022,1499.63164616402,154.145594978665,749.81582308201,-749.81582308201
0.00225,1499.61567312041,157.519207029396,749.807836560204,-749.807836560204
0.0023,1499.59940429442,160.887201076346,749.799702147208,-749.799702147208
0.00235,1499.58284232282,164.249586475057,749.791421161408,-749.791421161408
0.0024,1499.56598983334,167.606372565489,749.782994916668,-749.782994916668
0.00245,1499.54884944466,170.957568672051,749.774424722332,-749.774424722332
0.0025,1499.53142376644,174.303184103623,749.765711883219,-749.765711883219
0.00255,1499.51371539925,177.643228153584,749.756857699625,-749.756857699625
0.0026,1499.49572693465,180.977710099835,749.747863467324,-749.747863467324
0.00265,1499.47746095513,184.306639204829,749.738730477565,-749.738730477565
0.0027,1499.45892003415,187.630024715592,749.729460017076,-749.729460017076
0.00275,1499.44010673611,190.947875863755,749.720053368057,-749.720053368057
0.0028,1499.42102361638,194.260201865572,749.71051180819,-749.71051180819
0.00285,1499.40167322126,197.56701192195,749.700836610631,-749.700836610631
0.0029,1499.38205808803,200.868315218475,749.691029044013,-749.691029044013
0.00295,1499.3621807449,204.164120925437,749.681090372448,-749.681090372448
0.003,1499.34204371105,207.454438197854,749.671021855524,-749.671021855524
0.00305,1499.32164949662,210.739276175497,749.66082474831,-749.66082474831
0.0031,1499.3010006027,214.018643982918,749.650500301351,-749.650500301351
0.00315,1499.28009952135,217.292550729475,749.640049760673,-749.640049760673
0.0032,1499.25894873557,220.561005509356,749.629474367783,-749.629474367783
0.00325,1499.23755071934,223.824017401603,749.618775359669,-749.618775359669
0.0033,1499.2159079376,227.081595470141,749.6079539688,-749.6079539688
0.00335,1499.19402284626,230.333748763799,749.597011423129,-749.597011423129
0.0034,1499.17189789218,233.580486316339,749.585948946092,-749.585948946092
0.00345,1499.14953551322,236.821817146479,749.574767756612,-749.574767756612
0.0035,1499.12693813819,240.057750257916,749.563469069095,-749.563469069095
0.00355,1499.10410818688,243.288294639357,749.552054093438,-749.552054093438
0.0036,1499.08104807005,246.513459264538,749.540524035024,-749.540524035024
0.00365,1499.05776018946,249.733253092251,749.528880094729,-749.528880094729
0.0037,1499.03424693784,252.947685066371,749.517123468918,-749.517123468918
0.00375,1499.0105106989,256.156764115876,749.505255349451,-749.505255349451
0.0038,1498.98655384736,259.360499154878,749.493276923682,-749.493276923682
0.00385,1498.96237874892,262.558899082643,749.48118937446,-749.48118937446
0.0039,1498.93798776027,265.751972783617,749.468993880136,-749.468993880136
0.00395,1498.91338322912,268.939729127451,749.456691614558,-749.456691614558
0.004,1498.88856749415,272.122176969026,749.444283747076,-749.444283747076
0.00405,1498.86354288509,275.299325148477,749.431771442545,-749.431771442545
0.0041,1498.83831172265,278.471182491218,749.419155861324,-749.419155861324
0.00415,1498.81287631857,281.637757807965,749.406438159284,-749.406438159284
0.0042,1498.7872389756,284.799059894763,749.3936194878,-749.3936194878
0.00425,1498.76140198753,287.955097533008,749.380700993765,-749.380700993765
0.0043,1498.73536763916,291.105879489475,749.367683819582,-749.367683819582
0.00435,1498.70913820635,294.251414516337,749.354569103175,-749.354569103175
0.0044,1498.68271595597,297.391711351193,749.341357977984,-749.341357977984
0.00445,1498.65610314595,300.526778717093,749.328051572974,-749.328051572974
0.0045,1498.62930202526,303.656625322558,749.31465101263,-749.31465101263
0.00455,1498.60231483394,306.78125986161,749.301157416969,-749.301157416969
0.0046,1498.57514380307,309.900691013789,749.287571901534,-749.287571901534
0.00465,1498.5477911548,313.014927444186,749.273895577402,-749.273895577402
0.0047,1498.52025910237,316.123977803459,749.260129551186,-749.260129551186
0.00475,1498.49254985007,319.22785072786,749.246274925035,-749.246274925035
0.0048,1498.46466559328,322.326554839261,749.23233279664,-749.23233279664
0.00485,1498.43660851847,325.420098745176,749.218304259237,-749.218304259237
0.0049,1498.40838080322,328.508491038784,749.204190401608,-749.204190401608
0.00495,1498.37998461617,331.591740298954,749.189992308085,-749.189992308085
0.005,1498.35142211711,334.669855090269,749.175711058556,-749.175711058556
0.00505,1498.32269545692,337.742843963051,749.161347728462,-749.161347728462
0.0051,1498.29380677761,340.810715453382,749.146903388807,-749.146903388807
0.00515,1498.26475821231,343.873478083128,749.132379106156,-749.132379106156
0.0052,1498.23555188529,346.931140359967,749.117775942643,-749.117775942643
0.00525,1498.20618991194,349.983710777405,749.103094955972,-749.103094955972
